"Time","Ig:Measured current","<undefined>","Iout:Measured current","Vinductor:Measured voltage","Vout:Measured voltage"
0.0016820000000000001,427.87822624936427,0,193.56094006241881,-93.560940062418808,193.56094006241881
0.0016840000000000002,408.71292133334441,0,198.01185625674643,-98.011856256746427,198.01185625674643
0.001686,388.70520500840399,0,201.98657936238325,-101.98657936238325,201.98657936238325
0.001688,367.95077382754357,0,205.47879812942239,-105.47879812942239,205.47879812942239
0.001689999999999952,346.54638125781531,0,208.4842894051996,-108.4842894051996,208.4842894051996
0.0016900000000000001,346.54638125729309,0,208.48428940526605,99.653453618742702,208.48428940526605
0.0016920000000000001,366.47507904483393,0,204.35602347040165,99.633524920955168,204.35602347040165
0.0016940000000000002,386.39979149136468,0,200.30950276653343,99.613600208508629,200.30950276653343
0.001696,406.32051939387378,0,196.34310905722691,99.593679480606127,196.34310905722691
0.0016980000000000001,426.23726354919035,0,192.45525540843946,99.573762736450803,192.45525540843946
0.0016999999999999518,446.15002475350281,0,188.64438618861163,99.553849975246493,188.64438618861163
0.0017000000000000001,446.15002475398421,0,188.64438618852043,-88.644386188520429,188.64438618852043
0.0017020000000000002,427.9212577462946,0,193.56391085114913,-93.563910851149132,193.56391085114913
0.0017040000000000002,408.75527949730139,0,198.01561387794646,-98.015613877946464,198.01561387794646
0.0017060000000000001,388.74673549298308,0,201.99109335110472,-101.99109335110472,201.99109335110472
0.0017080000000000001,367.99132860328797,0,205.48403563267965,-105.48403563267965,205.48403563267965
0.0017099999999999516,346.58581908266103,0,208.49021536452332,-108.49021536452332,208.49021536452332
0.0017100000000000001,346.58581908213409,0,208.4902153645904,99.653414180917864,208.4902153645904
0.0017120000000000002,366.51450898289869,0,204.36183208785778,99.633485491017098,204.36183208785778
0.0017140000000000002,386.43921354423037,0,200.31519636564855,99.613560786455764,200.31519636564855
0.0017160000000000001,406.35993356311729,0,196.34868991553142,99.593640066436876,196.34868991553142
0.0017180000000000001,426.27666983638824,0,192.46072575835677,99.573723330163617,192.46072575835677
0.0017199999999999514,446.18942316022702,0,188.64974821834863,99.55381057683978,188.64974821834863
0.0017200000000000002,446.18942316071275,0,188.6497482182566,-88.649748218256605,188.6497482182566
0.0017220000000000002,427.95951684215316,0,193.56993575226548,-93.569935752265479,193.56993575226548
0.0017240000000000003,408.79227038215413,0,198.02226467247723,-98.022264672477235,198.02226467247723
0.0017260000000000001,388.78233685452091,0,201.99833130928883,-101.99833130928883,201.99833130928883
0.0017280000000000002,368.02542701471185,0,205.49182046852627,-105.49182046852627,205.49182046852627
0.001729999999999951,346.61830930037223,0,208.49850543137669,-108.49850543137669,208.49850543137669
0.0017300000000000002,346.61830929983819,0,208.49850543144467,99.653381690700158,208.49850543144467
0.0017320000000000002,366.54699270320901,0,204.36995800037366,99.633453007296794,204.36995800037366
0.0017340000000000003,386.47169076844625,0,200.32316137430323,99.613528309231555,200.32316137430323
0.0017360000000000001,406.39240429253778,0,196.35649720645534,99.593607595707468,196.35649720645534
0.0017380000000000002,426.30913407231225,0,192.46837845457833,99.573690865927688,192.46837845457833
0.0017399999999999508,446.22188090394656,0,188.65724938104009,99.553778119096052,188.65724938104009
0.0017400000000000002,446.22188090443876,0,188.65724938094681,-88.657249380946809,188.65724938094681
0.0017420000000000003,427.99042576319238,0,193.57791586371192,-93.577915863711922,193.57791586371192
0.0017440000000000003,408.82153878774966,0,198.03068265647491,-98.030682656474909,198.03068265647491
0.0017460000000000002,388.80988138039993,0,202.00714516536044,-102.00714516536044,202.00714516536044
0.0017480000000000002,368.05117275465005,0,205.50098746051145,-105.50098746051145,205.50098746051145
0.0017499999999999506,346.64218993576316,0,208.50798227602058,-108.50798227602058,208.50798227602058
0.0017500000000000003,346.64218993522434,0,208.50798227608919,99.653357810064776,208.50798227608919
0.0017520000000000003,366.57086856294524,0,204.37924719090282,99.633429131437055,204.37924719090282
0.0017540000000000001,386.49556185348752,0,200.33226662652149,99.613504438146506,200.33226662652149
0.0017560000000000002,406.41627060383905,0,196.36542216260872,99.593583729396158,196.36542216260872
0.001758,426.33299561082805,0,192.47712668477735,99.573667004389165,192.47712668477735
0.00175999999999995,446.24573767062498,0,188.66582438468382,99.553754262329377,188.66582438468382
0.0017600000000000001,446.24573767112366,0,188.66582438458931,-88.665824384589314,188.66582438458931
0.0017620000000000001,428.01253829637074,0,193.58677623499008,-93.586776234990083,193.58677623499008
0.0017640000000000002,408.84185408764688,0,198.03978766774964,-98.039787667749636,198.03978766774964
0.001766,388.82835463120301,0,202.01645392482936,-102.01645392482936,202.01645392482936
0.001768,368.0677673048931,0,205.51045907810186,-105.51045907810186,205.51045907810186
0.0017699999999999498,346.65687727872012,0,208.51757602928146,-108.51757602928146,208.51757602928146
0.0017700000000000001,346.65687727817419,0,208.51757602935095,99.653343122721822,208.51757602935095
0.0017720000000000001,366.58555296872066,0,204.38865097510308,99.633414447031285,204.38865097510308
0.0017740000000000002,386.51024332267593,0,200.34148420330376,99.613489756677325,200.34148420330376
0.001776,406.43094913702765,0,196.37445721915071,99.593569050862968,196.37445721915071
0.0017780000000000001,426.34767120860408,0,192.48598283523125,99.573652328791397,192.48598283523125
0.0017799999999999496,446.26041033357103,0,188.67450517161774,99.553739589666435,188.67450517161774
0.0017800000000000001,446.26041033407404,0,188.67450517152241,-88.674505171522412,188.67450517152241
0.0017820000000000002,428.0254640353694,0,193.5955583484066,-93.595558348406598,193.5955583484066
0.0017840000000000002,408.85301632513472,0,198.04863433426922,-98.048634334269224,198.04863433426922
0.001786,388.83774411808059,0,202.0253288434001,-102.0253288434001,202.0253288434001
0.0017880000000000001,368.07538198065845,0,205.5193265523844,-105.5193265523844,205.5193265523844
0.0017899999999999492,346.66272213161318,0,208.52640110003219,-108.52640110003219,208.52640110003219
