"Time","Ig:Measured current","Iinductor:Measured current","Iout:Measured current","Vinductor:Measured voltage","Vout:Measured voltage"
0.0031400000000000004,0,34.939961565492418,12.739118470631587,-12.739118470631587,12.739118470631587
0.0031436000000000003,0,25.519845361897012,13.358541200344714,-13.358541200344714,13.358541200344714
0.0031472000000000002,0,15.784937103813103,13.616917258383863,-13.616917258383863,13.616917258383863
0.0031508000000000005,0,5.9967969936476067,13.519361964434063,-13.519361964434063,13.519361964434063
0.0031530360604968412,0,4.5474735088646412e-13,13.285675235511096,-13.285675235511096,13.285675235511096
0.0031530360604969305,0,0,13.285675235499195,0,13.285675235499195
0.0031540288483975446,0,0,13.154429233697899,0,13.154429233697899
0.0031550216362981583,0,0,13.02447977987571,0,13.02447977987571
0.0031560144241987724,0,0,12.89581406650394,0,12.89581406650394
0.0031570072120993861,0,0,12.768419411197183,0,12.768419411197183
0.0031579999999999104,0,0,12.642283256724655,0,12.642283256724655
0.0031580000000000002,0,0,12.642283256713306,87.357716743286687,12.642283256713306
0.0031584,6.9899858328137201,6.9899858328137201,12.605775722488136,87.38723429167905,12.605775722488136
0.0031588000000000002,13.981210065094354,13.981210065094354,12.597321231042828,87.388697558892076,12.597321231042828
0.0031592,20.971432448905226,20.971432448905226,12.616808236918017,87.362220330633079,12.616808236918017
0.0031596000000000003,27.958422913532431,27.958422913532431,12.66411677702216,87.307924800064313,12.66411677702216
0.0031599999999999103,34.939961563918736,34.939961563918736,12.739118470611622,87.225941567824464,12.739118470611622
0.00316,0,34.939961565484829,12.739118470631553,-12.739118470631553,12.739118470631553
0.0031635999999999999,0,25.51984536188931,13.358541200344426,-13.358541200344426,13.358541200344426
0.0031672000000000002,0,15.784937103805468,13.616917258383319,-13.616917258383319,13.616917258383319
0.0031708000000000001,0,5.9967969936402241,13.519361964433271,-13.519361964433271,13.519361964433271
0.0031730360604967935,0,1.1972645097557688e-10,13.285675235516496,-13.285675235516496,13.285675235516496
0.0031730360604968837,0,0,13.285675235504479,0,13.285675235504479
0.0031740288483975069,0,0,13.154429233701899,0,13.154429233701899
0.0031750216362981302,0,0,13.024479779878451,0,13.024479779878451
0.0031760144241987538,0,0,12.895814066505446,0,12.895814066505446
0.003177007212099377,0,0,12.768419411197478,0,12.768419411197478
0.0031779999999999101,0,0,12.642283256723818,0,12.642283256723818
0.0031780000000000003,0,0,12.642283256712414,87.357716743287583,12.642283256712414
0.0031784000000000001,6.9899858328137912,6.9899858328137912,12.605775722487248,87.387234291679931,12.605775722487248
0.0031788000000000003,13.981210065094494,13.981210065094494,12.597321231041946,87.388697558892957,12.597321231041946
0.0031792000000000001,20.971432448905428,20.971432448905428,12.616808236917137,87.36222033063396,12.616808236917137
0.0031796000000000003,27.958422913532708,27.958422913532708,12.664116777021285,87.30792480006518,12.664116777021285
0.0031799999999999099,34.939961563911524,34.939961563911524,12.739118470610656,87.22594156782543,12.739118470610656
0.0031800000000000001,0,34.939961565485177,12.739118470630682,-12.739118470630682,12.739118470630682
0.0031836,0,25.519845361890265,13.358541200343609,-13.358541200343609,13.358541200343609
