"Time","Ig:Measured current","Iout:Measured current","Vinductor:Measured voltage","Vout:Measured voltage"
0.0051160000000000008,0,10,-10,10
0.0051170000000000009,0,10,-10,10
0.0051180000000000002,0,10,-10,10
0.0051190000000000003,0,10,-10,10
0.0051199999999998547,0,10,-10,10
0.0051200000000000004,0,10,-10,10
0.0051210000000000006,0,10,-10,10
0.0051220000000000007,0,10,-10,10
0.0051229999999999999,0,10,-10,10
0.0051240000000000001,0,10,-10,10
0.0051240000000001458,10,10,90,10
0.0051242000000001169,10,10,90,10
0.0051244000000000879,10,10,90,10
0.0051246000000000581,10,10,90,10
0.0051248000000000292,10,10,90,10
0.0051249999999998545,10,10,90,10
0.0051250000000000002,10,10,90,10
0.0051259999999999275,10,10,90,10
0.0051260000000000732,0,10,-10,10
0.005127800000000059,0,10,-10,10
0.005129600000000044,0,10,-10,10
0.0051314000000000299,0,10,-10,10
0.0051332000000000148,0,10,-10,10
0.005134999999999855,0,10,-10,10
0.0051350000000000007,0,10,-10,10
0.0051360000000000008,0,10,-10,10
0.0051370000000000009,0,10,-10,10
0.0051380000000000002,0,10,-10,10
0.0051390000000000003,0,10,-10,10
0.0051399999999998548,0,10,-10,10
0.0051400000000000005,0,10,-10,10
0.0051410000000000006,0,10,-10,10
0.0051420000000000007,0,10,-10,10
0.005143,0,10,-10,10
0.0051440000000000001,0,10,-10,10
0.0051440000000001459,10,10,90,10
0.0051442000000001169,10,10,90,10
0.005144400000000088,10,10,90,10
0.0051446000000000582,10,10,90,10
0.0051448000000000292,10,10,90,10
0.0051449999999998537,10,10,90,10
0.0051450000000000003,10,10,90,10
0.0051459999999999275,10,10,90,10
0.0051460000000000733,0,10,-10,10
0.0051478000000000591,0,10,-10,10
0.0051496000000000441,0,10,-10,10
0.0051514000000000299,0,10,-10,10
0.0051532000000000149,0,10,-10,10
0.0051549999999998541,0,10,-10,10
0.0051550000000000007,0,10,-10,10
0.0051560000000000009,0,10,-10,10
0.005157000000000001,0,10,-10,10
0.0051580000000000003,0,10,-10,10
0.0051590000000000004,0,10,-10,10
0.0051599999999998539,0,10,-10,10
0.0051600000000000005,0,10,-10,10
0.0051610000000000007,0,10,-10,10
0.0051620000000000008,0,10,-10,10
0.0051630000000000001,0,10,-10,10
0.0051640000000000002,0,10,-10,10
0.0051640000000001476,10,10,90,10
0.0051642000000001178,10,10,90,10
0.0051644000000000889,10,10,90,10
0.0051646000000000591,10,10,90,10
0.0051648000000000301,10,10,90,10
0.0051649999999998537,10,10,90,10
0.0051650000000000003,10,10,90,10
0.0051659999999999267,10,10,90,10
0.0051660000000000742,0,10,-10,10
0.0051678000000000592,0,10,-10,10
0.005169600000000045,0,10,-10,10
0.00517140000000003,0,10,-10,10
0.0051732000000000158,0,10,-10,10
0.0051749999999998533,0,10,-10,10
0.0051750000000000008,0,10,-10,10
0.0051760000000000009,0,10,-10,10
0.005177000000000001,0,10,-10,10
0.0051780000000000003,0,10,-10,10
0.0051790000000000004,0,10,-10,10
0.0051799999999998531,0,10,-10,10
0.0051800000000000006,0,10,-10,10
0.0051810000000000007,0,10,-10,10
0.0051820000000000008,0,10,-10,10
0.0051830000000000001,0,10,-10,10
0.0051840000000000002,0,10,-10,10
0.0051840000000001477,10,10,90,10
0.0051842000000001179,10,10,90,10
0.0051844000000000889,10,10,90,10
0.0051846000000000591,10,10,90,10
0.0051848000000000302,10,10,90,10
0.0051849999999998529,10,10,90,10
0.0051850000000000004,10,10,90,10
0.0051859999999999268,10,10,90,10
0.0051860000000000742,0,10,-10,10
0.0051878000000000592,0,10,-10,10
0.005189600000000045,0,10,-10,10
0.00519140000000003,0,10,-10,10
0.0051932000000000159,0,10,-10,10
0.0051949999999998534,0,10,-10,10
0.0051950000000000008,0,10,-10,10
0.005196000000000001,0,10,-10,10
0.0051970000000000011,0,10,-10,10
0.0051980000000000004,0,10,-10,10
0.0051990000000000005,0,10,-10,10
0.0051999999999998532,0,10,-10,10
0.0052000000000000006,0,10,-10,10
0.0052010000000000008,0,10,-10,10
0.0052020000000000009,0,10,-10,10
0.0052030000000000002,0,10,-10,10
0.0052040000000000003,0,10,-10,10
0.0052040000000001477,10,10,90,10
0.0052042000000001179,10,10,90,10
0.005204400000000089,10,10,90,10
0.0052046000000000592,10,10,90,10
0.0052048000000000302,10,10,90,10
0.0052049999999998521,10,10,90,10
0.0052050000000000004,10,10,90,10
0.0052059999999999268,10,10,90,10
0.0052060000000000743,0,10,-10,10
0.0052078000000000593,0,10,-10,10
0.0052096000000000442,0,10,-10,10
0.0052114000000000301,0,10,-10,10
0.005213200000000015,0,10,-10,10
0.0052149999999998517,0,10,-10,10
0.005215,0,10,-10,10
0.0052160000000000002,0,10,-10,10
0.0052170000000000003,0,10,-10,10
0.0052180000000000004,0,10,-10,10
0.0052190000000000005,0,10,-10,10
0.0052199999999998524,0,10,-10,10
0.0052200000000000007,0,10,-10,10
0.0052210000000000008,0,10,-10,10
0.0052220000000000009,0,10,-10,10
0.0052230000000000002,0,10,-10,10
0.0052240000000000003,0,10,-10,10
0.0052240000000001495,10,10,90,10
0.0052242000000001197,10,10,90,10
0.0052244000000000899,10,10,90,10
0.0052246000000000601,10,10,90,10
0.0052248000000000303,10,10,90,10
0.0052249999999998522,10,10,90,10
0.0052250000000000005,10,10,90,10
0.005225999999999926,10,10,90,10
0.0052260000000000752,0,10,-10,10
0.0052278000000000602,0,10,-10,10
0.0052296000000000451,0,10,-10,10
0.0052314000000000301,0,10,-10,10
0.0052332000000000151,0,10,-10,10
0.0052349999999998509,0,10,-10,10
0.0052350000000000001,0,10,-10,10
0.0052360000000000002,0,10,-10,10
0.0052370000000000003,0,10,-10,10
0.0052380000000000005,0,10,-10,10
0.0052390000000000006,0,10,-10,10
0.0052399999999998515,0,10,-10,10
0.0052400000000000007,0,10,-10,10
0.0052410000000000009,0,10,-10,10
0.005242000000000001,0,10,-10,10
0.0052430000000000003,0,10,-10,10
0.0052440000000000004,0,10,-10,10
0.0052440000000001496,10,10,90,10
0.0052442000000001198,10,10,90,10
0.00524440000000009,10,10,90,10
0.0052446000000000602,10,10,90,10
0.0052448000000000303,10,10,90,10
0.0052449999999998513,10,10,90,10
0.0052450000000000005,10,10,90,10
0.0052459999999999261,10,10,90,10
0.0052460000000000753,0,10,-10,10
0.0052478000000000602,0,10,-10,10
0.0052496000000000452,0,10,-10,10
0.0052514000000000302,0,10,-10,10
0.0052532000000000151,0,10,-10,10
0.0052549999999998509,0,10,-10,10
0.0052550000000000001,0,10,-10,10
0.0052560000000000003,0,10,-10,10
0.0052570000000000004,0,10,-10,10
0.0052580000000000005,0,10,-10,10
0.0052590000000000007,0,10,-10,10
0.0052599999999998516,0,10,-10,10
0.0052600000000000008,0,10,-10,10
0.0052610000000000009,0,10,-10,10
0.0052620000000000011,0,10,-10,10
0.0052630000000000003,0,10,-10,10
0.0052640000000000004,0,10,-10,10
0.0052640000000001496,10,10,90,10
0.0052642000000001198,10,10,90,10
0.00526440000000009,10,10,90,10
0.0052646000000000602,10,10,90,10
0.0052648000000000304,10,10,90,10
0.0052649999999998505,10,10,90,10
0.0052650000000000006,10,10,90,10
0.0052659999999999261,10,10,90,10
0.0052660000000000753,0,10,-10,10
0.0052678000000000603,0,10,-10,10
0.0052696000000000453,0,10,-10,10
0.0052714000000000302,0,10,-10,10
0.0052732000000000152,0,10,-10,10
0.0052749999999998501,0,10,-10,10
0.0052750000000000002,0,10,-10,10
0.0052760000000000003,0,10,-10,10
0.0052770000000000004,0,10,-10,10
0.0052780000000000006,0,10,-10,10
0.0052790000000000007,0,10,-10,10
0.0052799999999998508,0,10,-10,10
0.0052800000000000008,0,10,-10,10
0.005281000000000001,0,10,-10,10
0.0052820000000000011,0,10,-10,10
0.0052830000000000004,0,10,-10,10
0.0052840000000000005,0,10,-10,10
0.0052840000000001514,10,10,90,10
0.0052842000000001216,10,10,90,10
0.0052844000000000909,10,10,90,10
0.0052846000000000611,10,10,90,10
0.0052848000000000304,10,10,90,10
0.0052849999999998506,10,10,90,10
0.0052850000000000006,10,10,90,10
0.0052859999999999253,10,10,90,10
0.0052860000000000762,0,10,-10,10
0.0052878000000000612,0,10,-10,10
0.0052896000000000462,0,10,-10,10
0.0052914000000000303,0,10,-10,10
0.0052932000000000153,0,10,-10,10
0.0052949999999998493,0,10,-10,10
0.0052950000000000002,0,10,-10,10
0.0052960000000000004,0,10,-10,10
0.0052970000000000005,0,10,-10,10
0.0052979999999999998,0,10,-10,10
0.0052989999999999999,0,10,-10,10
