Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1201.124433981432,-0.3658897538490763,-0.4666231492407519,-14.29967761006519
1251.93313791547,-0.3300403943705868,-0.5266398279000418,-14.86437011659208
1304.891098264931,-0.3406310827533513,-0.5106557557973801,-15.04149812342425
1360.089230616743,-0.3176372680785617,-0.5445265442330973,-15.54730663676482
1417.622296373483,-0.3617412303101763,-0.5434271999493283,-16.26297631022151
1477.589065435017,-0.3640020584131445,-0.5735852538680121,-16.60645314615336
1540.092485761756,-0.3519786545067038,-0.6148139849813898,-17.2470454793679
1605.239860110578,-0.3448218182362752,-0.6146736147030289,-17.34968334583556
1673.14303024685,-0.3022683576775859,-0.6461194898872363,-18.03208592196378
1743.918568948799,-0.3145135079856729,-0.6783024925089921,-18.97055118574485
1817.687980133853,-0.3145571840851287,-0.7097113194065887,-19.30633210101169
1894.577907450499,-0.312353527808809,-0.7562107004193024,-20.12154942392829
1974.720351693797,-0.2889792522960443,-0.7667469729633378,-20.56502168511352
2058.252897417765,-0.2966930087322113,-0.7552000630467016,-21.69046591085957
2145.318949133678,-0.2699139527449452,-0.7931096479051969,-22.12165212584002
2236.067977499791,-0.2837819092528988,-0.8515336884587246,-23.18107024618533
2330.655775925117,-0.2898596594973333,-0.80870005071208,-24.06829148325408
2429.244728027779,-0.310844180278108,-0.8096615111355767,-24.60298150850636
2532.004086407124,-0.2855030669357412,-0.8726817871261506,-25.53631735929194
2639.110263208136,-0.2933061033675797,-0.8474794927773128,-26.52547127190172
2750.747132977031,-0.2993055022761436,-0.8980231916390014,-27.55831437637177
2867.106348327898,-0.2771266065273396,-0.91737925590971,-28.34247613781746
2988.38766896236,-0.2500111647110911,-0.926777490199076,-29.1205431234811
3114.799304607086,-0.262366771459978,-0.9040985717729205,-30.05916208808961
3246.558272457852,-0.2579649221735909,-0.9313567127596762,-31.32976106519256
3383.890769743857,-0.2118884253765853,-1.010530932696903,-32.56257118473494
3527.032562051862,-0.1939443959399526,-1.026121491452122,-33.63056240638849
3676.229388076776,-0.212046450725856,-1.015061218456765,-35.0876505173764
3831.737381493625,-0.198952937149946,-1.043153198913121,-36.17893267679504
3993.823510675062,-0.2474291113162335,-1.062406419753994,-37.60805362180504
4162.766037009368,-0.1999699077579427,-1.078321489695456,-39.31545114859642
4338.854992605741,-0.2199323856126887,-1.046585593284466,-40.91753402623413
4522.392678206958,-0.1576240813160391,-1.090753996491847,-42.48622984837996
4713.694182164233,-0.2020403636022862,-1.078243550071705,-44.31383834786054
4913.087921365179,-0.1757366715885727,-1.110013237649221,-45.71953252821242
5120.916205043567,-0.1662018633198429,-1.122511079153579,-47.51423628315258
5337.53582243876,-0.1402640308074179,-1.148220648816036,-49.88009600339807
5563.318655313677,-0.1676748307633425,-1.135400044087917,-51.42784201741335
5798.652316382892,-0.1504093971696403,-1.183165800715367,-53.48052103792808
6043.940814746816,-0.1436921031550716,-1.176675683851548,-55.88008959958771
6299.605249474367,-0.1927501967620275,-1.177906937048808,-58.0836173048264
6566.084532524903,-0.1399525305183755,-1.213004477417103,-60.72110579763009
6843.836142250362,-0.1213809651012934,-1.209628180263916,-63.21069763114679
7133.336908771306,-0.1277673009297284,-1.265008569067787,-65.79715659731987
7435.083832575129,-0.2086658646178141,-1.212450178394815,-68.58141909043738
7749.594937741685,-0.1543180141294186,-1.348554366328623,-71.64291828635555
8077.410161261253,-0.1360818901435328,-1.369647712673366,-74.63100682733658
8419.092279971408,-0.09280118621676953,-1.513735056933785,-77.70753682811181
8775.227876704274,-0.1440794976478159,-1.468615468967809,-81.01536552624357
9146.428347302706,-0.1440962937626723,-1.543650598672882,-84.91569815662224
9533.33095023416,-0.164071653557824,-1.568282482012007,-88.44839832701345
9936.599900604322,-0.1263114632668882,-1.733479917924248,-92.88183958185749
10356.92751044845,-0.1675378254641746,-1.735867301723486,-96.26238867739316
10795.03537725818,-0.1971218845899604,-1.774438279512359,-101.1661894935868
11251.6756227842,-0.22854517966515,-1.855054208918549,-105.7061481093751
11727.63218424127,-0.197718950715069,-1.940949322451792,-110.8391092782769
12223.72216013265,-0.2168866071507536,-2.20203532574619,-116.4224944537087
12740.79721300408,-0.2250067298949983,-2.48799861810344,-121.7388174787066
13279.74503153555,-0.1949593378922909,-2.62112980607181,-125.9785825918042
13841.490854481,-0.2775054679241402,-2.971327067750763,-130.5810461374859
14426.99905907214,-0.3012043823342045,-3.187303789796255,-136.9245929162093
15037.27481661315,-0.2978918291684501,-3.458055233316907,-141.4317288977006
15673.36581810872,-0.1722066739791827,-3.94606118589537,-146.4071932111049
16336.36407288775,-0.2624009288594256,-4.19447013330594,-158.8378834959676
17027.40778331055,-0.2801208756251279,-4.048851446246627,-157.1035758266649
17747.68329877786,-0.2342628808359549,-4.916796534710687,-161.9459928098965
18498.42715239644,-0.3143368831270883,-5.350554887846727,-169.7630116345962
19280.92818379749,-0.2587435517847232,-5.97141312956607,-174.5595015264364
20096.52975175224,-0.2988763538588695,-6.368380794302117,-181.1239958310352
20946.63204038333,-0.2597404379138699,-6.798958117940814,-186.16056576924
21832.69446293124,-0.2551077222797006,-7.124504749189446,-191.2298569415733
22756.23816720202,-0.3032283828893853,-8.301290046171028,-197.8363931822138
23718.84864699823,-0.3480464805683576,-5.706025466227032,-191.1528658672767
24722.17846401552,-0.2708557812301775,-13.86333788537111,-287.5446425079573
25767.95008487826,-0.342619136174327,-4.216604956854928,-181.3115786826604
26857.95883818439,-0.3273706279962632,-7.396002142935214,-206.2699815988501
27994.07599663607,-0.2093727256604306,-9.576906811865852,-235.7996148764914
29178.25198954741,-0.2139590505636504,-10.07394229133009,-237.1216813153302
30412.51975124426,-0.279194528396068,-10.55254389093518,-242.0802276488504
31698.99821110458,-0.1918144911253936,-11.50925366472563,-249.6486698292173
33039.89593123081,-0.2759757270454896,-12.34999932428557,-253.5098392624821
34437.51489799911,-0.3628529475514121,-10.97162067047097,-270.6306272612074
35894.25447399503,-0.3250126432514293,-13.6631319884285,-285.2479833203695
