,Time (s),Channel 1 (V),Channel 2 (V),Ch2_moving_average
1419,-0.0016860282577132,-0.4379026072223228,8.846017953381068,9.14669997157299
1420,-0.0016853982577132,-0.4385691078456682,8.805910002127675,9.146446562244618
1421,-0.0016847682577132,-0.434570104105596,8.820494711674364,9.146194976004937
1422,-0.0016841382577132,-0.4332371028589053,8.922587678501186,9.14594521285395
1423,-0.0016835082577132,-0.4319041016122145,9.042911532261368,9.145697272791656
1424,-0.0016828782577132,-0.4305711003655238,9.137712144314843,9.145451155818057
1425,-0.0016822482577132,-0.4295713494305058,9.221574224208306,9.14520686193315
1426,-0.0016816182577132,-0.4282383481838151,9.29085159455508,9.144964391136936
1427,-0.0016809882577132,-0.427238597248797,9.356482787515178,9.144723743429415
1428,-0.0016803582577132,-0.4265720966254516,9.403883093541916,9.144484918810587
1429,-0.0016797282577132,-0.4255723456904336,9.443991044795313,9.144247917280454
1430,-0.0016790982577132,-0.4252390953787609,9.473160463888687,9.144012738839015
1431,-0.0016784682577132,-0.4249058450670882,9.480452818662032,9.143779383486267
1432,-0.0016778382577132,-0.4249058450670882,9.484098996048704,9.143547851222213
1433,-0.0016772082577132,-0.4249058450670882,9.473160463888687,9.143318142046853
1434,-0.0016765782577132,-0.4252390953787609,9.458575754342,9.14308721747903
1435,-0.0016759482577132,-0.4249058450670882,9.429406335248622,9.142855077518746
1436,-0.0016753182577132,-0.426238846313779,9.400236916155244,9.142621722165998
1437,-0.0016746882577132,-0.4282383481838151,9.367421319675197,9.14238715142079
1438,-0.0016740582577132,-0.4275718475604697,9.320021013648455,9.14215136528312
1439,-0.0016734282577132,-0.4285715984954877,9.283559239781734,9.141914363752985
1440,-0.0016727982577132,-0.4285715984954877,9.236158933754997,9.14167763844841
1441,-0.0016721682577132,-0.4285715984954877,9.192404805114927,9.141441189369397
1442,-0.0016715382577132,-0.4305711003655238,9.163235386021553,9.141205016515942
1443,-0.0016709082577132,-0.4315708513005419,9.1304197895415,9.140969119888048
1444,-0.0016702782577132,-0.4319041016122145,9.09395801567478,9.140733499485712
1445,-0.0016696482577132,-0.4315708513005419,9.053850064421384,9.140498155308935
1446,-0.0016690182577132,-0.4322373519238872,9.013742113167991,9.14026156811714
1447,-0.0016683882577132,-0.4319041016122145,8.977280339301268,9.140023737910326
1448,-0.0016677582577132,-0.4329038525472326,8.933526210661201,9.139784664688497
1449,-0.0016671282577132,-0.433570353170578,8.893418259407808,9.139544348451647
1450,-0.0016664982577132,-0.4332371028589053,8.856956485541085,9.13930278919978
1451,-0.0016658682577132,-0.433570353170578,8.824140889061036,9.139055760681833
1452,-0.0016652382577132,-0.4309043506771965,8.787679115194313,9.138803262897806
1453,-0.0016646082577132,-0.4289048488071604,8.856956485541085,9.138545295847699
1454,-0.0016639782577132,-0.427238597248797,8.959049452367907,9.13828185953151
1455,-0.0016633482577132,-0.4255723456904336,9.068434773968074,9.138012953949245
1456,-0.0016627182577132,-0.4239060941320702,9.15958920863488,9.1377385791009
1457,-0.0016620882577132,-0.4225730928853794,9.239805111141669,9.137458734986472
1458,-0.0016614582577132,-0.4219065922620341,9.305436304101766,9.137173421605965
1459,-0.0016608282577132,-0.4212400916386887,9.363775142288524,9.136882638959376
1460,-0.0016601982577132,-0.420906841327016,9.403883093541916,9.13658638704671
1461,-0.0016595682577132,-0.420906841327016,9.447637222181983,9.136284665867962
1462,-0.0016589382577132,-0.4202403407036707,9.462221931728672,9.135977475423134
1463,-0.0016583082577132,-0.4202403407036707,9.47680664127536,9.135664815712227
1464,-0.0016576782577132,-0.4202403407036707,9.469514286502015,9.13534668673524
1465,-0.0016570482577132,-0.4202403407036707,9.454929576955328,9.135023088492174
1466,-0.0016564182577132,-0.419907090391998,9.433052512635294,9.134695263998045
1467,-0.0016557882577132,-0.4205735910153434,9.403883093541916,9.134363213252854
1468,-0.0016551582577132,-0.4219065922620341,9.37471367444854,9.134026936256602
1469,-0.0016545282577132,-0.4225730928853794,9.334605723195144,9.133686433009288
1470,-0.0016538982577132,-0.4225730928853794,9.283559239781734,9.133341703510911
1471,-0.0016532682577132,-0.4232395935087248,9.250743643301684,9.132999736268133
1472,-0.0016526382577132,-0.4229063431970521,9.203343337274944,9.132660531280946
1473,-0.0016520082577132,-0.4239060941320702,9.170527740794896,9.132324088549359
1474,-0.0016513782577132,-0.426238846313779,9.14500449908819,9.131990408073365
1475,-0.0016507482577132,-0.4259055960021063,9.11218890260814,9.13165948985297
1476,-0.0016501182577132,-0.4269053469371243,9.068434773968074,9.131331333888168
1477,-0.0016494882577132,-0.4265720966254516,9.028326822714678,9.131008386748206
1478,-0.0016488582577132,-0.4265720966254516,8.988218871461285,9.130690648433081
1479,-0.0016482282577132,-0.427238597248797,8.944464742821218,9.130378118942795
1480,-0.0016475982577132,-0.427238597248797,8.904356791567825,9.130070798277348
1481,-0.0016469682577132,-0.427238597248797,8.86424884031443,9.129768686436739
1482,-0.0016463382577132,-0.4275718475604697,8.827787066447708,9.129471783420966
1483,-0.0016457082577132,-0.4275718475604697,8.787679115194313,9.129178569989454
1484,-0.0016450782577132,-0.4235728438203975,8.787679115194313,9.128889046142204
1485,-0.0016444482577132,-0.4229063431970521,8.893418259407808,9.128603211879211
1486,-0.0016438182577132,-0.4212400916386887,9.002803581007974,9.128321067200481
1487,-0.0016431882577132,-0.4195738400803253,9.101250370448124,9.128042612106013
1488,-0.0016425582577132,-0.4179075885219619,9.185112450341585,9.127767846595802
1489,-0.0016419282577132,-0.4172410878986165,9.258035998075028,9.127496770669854
1490,-0.0016412982577132,-0.4162413369635984,9.316374836261785,9.127229384328164
1491,-0.0016406682577132,-0.4155748363402531,9.371067497061867,9.126965687570735
1492,-0.0016400382577132,-0.4152415860285804,9.41117544831526,9.126705680397565
1493,-0.0016394082577132,-0.4149083357169077,9.443991044795313,9.126449362808655
1494,-0.0016387782577132,-0.4155748363402531,9.465868109115345,9.126196734804008
1495,-0.0016381482577132,-0.4139085847818897,9.469514286502015,9.125947796383622
1496,-0.0016375182577132,-0.4145750854052351,9.462221931728672,9.125702547547496
1497,-0.0016368882577132,-0.4142418350935624,9.451283399568656,9.125460988295627
1498,-0.0016362582577132,-0.4142418350935624,9.418467803088603,9.125227301472208
1499,-0.0016356282577132,-0.4149083357169077,9.382006029221884,9.12500148707724
1500,-0.0016349982577132,-0.4169078375869438,9.356482787515178,9.124783545110718
1501,-0.0016343682577132,-0.4165745872752711,9.305436304101766,9.124573475572644
1502,-0.0016337382577132,-0.4169078375869438,9.268974530235043,9.12437127846302
1503,-0.0016331082577132,-0.4179075885219619,9.22886657898165,9.124175710766826
1504,-0.0016324782577132,-0.4172410878986165,9.181466272954912,9.123986772484061
1505,-0.0016318482577132,-0.4192405897686526,9.155943031248206,9.123804463614727
1506,-0.0016312182577132,-0.419907090391998,9.123127434768156,9.123628784158823
1507,-0.0016305882577132,-0.4202403407036707,9.083019483514764,9.12345973411635
1508,-0.0016299582577132,-0.4202403407036707,9.042911532261368,9.123297313487308
1509,-0.0016293282577132,-0.4215733419503614,9.006449758394647,9.123140030653675
1510,-0.0016286982577132,-0.4219065922620341,8.966341807141252,9.122987885615448
1511,-0.0016280682577132,-0.4215733419503614,8.926233855887858,9.122840878372632
1512,-0.0016274382577132,-0.4219065922620341,8.886125904634463,9.122699008925222
1513,-0.0016268082577132,-0.4222398425737068,8.842371775994396,9.122562277273222
1514,-0.0016261782577132,-0.4222398425737068,8.79861764735433,9.122427368709914
1515,-0.0016255482577132,-0.420906841327016,8.769448228260952,9.122294283235302
