"Time","Ig:Measured current","Iout:Measured current","Vout:Measured voltage"
0.0058169051508411909,0,1.8658898488598878,9.9514125272527352
0.0058169051508413557,0,1.8658898488589268,9.9514125272476104
0.0058172518541532037,0,1.8638693492635496,9.9406365294055981
0.0058172518541533685,0,1.8638693492625897,9.9406365294004786
0.005818450856712884,0.51434796657701098,1.8578603554986954,9.908588562659709
0.0058196498592723985,1.0304102436156091,1.853800657970671,9.8869368425102451
0.005820848861831914,1.5475187149394005,1.8516882330665334,9.8756705763548442
0.0058220478643914294,2.0650097826626874,1.8515185930022677,9.8747658293454279
0.005823246866950944,2.5822243671904666,1.8532847858218306,9.8841855243830974
0.0058244458695104594,3.0985079072184298,1.8569773953971467,9.9038794421181162
0.0058256448720699749,3.6132103597329643,1.8625845414281101,9.9337842209499208
0.0058268438746294903,4.1256862000111543,1.8700918794425847,9.9738233570271184
0.0058272141251573921,4.2833883555805752,1.8727915749125346,9.988221732866851
0.0058272141251575569,0,1.8727915749137762,9.9882217328734733
0.0058275608524274505,0,1.8753024492875354,10.001613062866856
0.0058275608524276153,0,1.875302449288681,10.001613062872964
0.00582874715457602,0,1.8823638445974935,10.039273837853299
0.0058299334567244255,0,1.8870587538325561,10.064313353773633
0.0058311197588728301,0,1.8893899725181376,10.076746520096734
0.0058323060610212347,0,1.8893632206346191,10.076603843384635
0.0058334923631696402,0,1.8869871426184912,10.06393142729862
0.0058346786653180448,0,1.8822733073623563,10.038790972599234
0.0058352356019187555,0,1.8792579118918669,10.02270886342329
0.0058352356019189221,0,1.879257911890889,10.022708863418075
0.0058365290363194483,0,1.8716773149224801,9.9822790129198946
0.005837520050030064,0,1.8658898503025396,9.9514125349468774
0.0058375200500302305,0,1.8658898503015684,9.9514125349416975
0.0058378667533420777,0,1.863869350704634,9.9406365370913807
0.0058378667533422442,0,1.8638693507036641,9.940636537086208
0.0058390657559017354,0.51434796607831001,1.8578603569335659,9.908588570312352
0.0058402647584612265,1.0304102426205946,1.8538006593974612,9.8869368501197936
0.0058414637610207185,1.5475187134511141,1.8516882344833843,9.8756705839113827
0.0058426627635802097,2.0650097806848158,1.8515185944073405,9.8747658368391491
0.0058438617661397008,2.5822243647273302,1.8532847872133074,9.8841855318043059
0.005845060768699192,3.0985079042749746,1.8569773967732339,9.9038794494572482
0.005846259771258684,3.613210356314752,1.8625845427870416,9.9337842281975544
0.0058474587738181752,4.1256861961243514,1.8700918807826221,9.9738233641739846
