"Time","Ig:Measured current","Iout:Measured current","Vout:Measured voltage","V_Isense:Measured voltage"
0.0087505753445012713,2.5780192755857012,1.8437333210695299,9.8332443790374935,0.12890096377928506
0.0087517743287802083,3.0885141205228472,1.847435435769329,9.8529889907697541,0.15442570602614236
0.008752973313059147,3.5958074007115468,1.8530273077966111,9.8828123082485924,0.17979037003557735
0.008754172297338084,4.099274392568744,1.8604887085248567,9.9226064454659024,0.20496371962843721
0.0087545426941988934,4.2539385192554331,1.8631682547824366,9.9368973588396621,0.21269692596277168
0.0087545426941991432,0,1.8631682547843029,9.936897358849615,0
0.008754889421469127,0,1.8656581704538318,9.9501769090871033,0
0.0087548894214694965,0,1.8656581704563782,9.9501769091006835,0
0.0087560757235502808,0,1.8726557929310319,9.9874975622988362,0
0.0087572620256310667,0,1.8772992354320666,10.012262588971021,0
0.008758448327711851,0,1.8795913128998447,10.024487002132505,0
0.008759634629792637,0,1.8795377491879455,10.024201329002375,0
0.0087608209318734212,0,1.8771471770631614,10.011451611003528,0
0.0087620072339542072,0,1.8724311382055019,9.9862994037626773,0
0.0087625505175676233,0,1.8694988559196677,9.9706605649048949,0
0.0087625505175678731,0,1.8694988559182084,9.9706605648971109,0
0.0087638439519651425,0,1.8619576252897105,9.9304406682117889,0
0.0087648485981826514,0,1.8561211398025868,9.8993127456137966,0
0.0087648485981829012,0,1.8561211398011381,9.8993127456060694,0
0.008765195301542697,0,1.8541112180833039,9.8885931631109543,0
0.0087651953015429468,0,1.8541112180818566,9.888593163103236,0
0.0087663942858218751,0.5168252671678627,1.8481440628525982,9.8567683352138573,0.025841263358393138
0.0087675932701008017,1.0337039649878383,1.8441322597494194,9.8353720519969041,0.051685198249391918
0.00876879225437973,1.5499675773829864,1.8420674295901025,9.8243596244805467,0.077498378869149329
0.0087699912386586584,2.064956346775213,1.8419388233035727,9.8236737242857206,0.10324781733876065
0.0087711902229375849,2.578019274085269,1.8437333219298988,9.833244383626127,0.12890096370426346
0.0087723892072165133,3.0885141187327525,1.847435436620295,9.8529889953082392,0.15442570593663763
0.0087735881914954416,3.5958073986361061,1.8530273086371181,9.8828123127312963,0.17979036993180531
0.0087747871757743682,4.0992743902126199,1.86048870935387,9.9226064498873061,0.204963719510631
0.008775157572632683,4.2539385157747178,1.8631682555890781,9.9368973631417497,0.21269692578873589
0.0087751575726329328,0,1.8631682555909446,9.9368973631517044,0
0.0087755042999027952,0,1.8656581712549509,9.9501769133597389,0
0.008775504299903045,0,1.8656581712566727,9.9501769133689209,0
0.0087766906019838362,0,1.8726557937151957,9.9874975664810446,0
0.0087778769040646257,0,1.8772992361991632,10.012262593062204,0
0.0087790632061454169,0,1.8795913136489633,10.024487006127805,0
0.0087802495082262063,0,1.8795377499181996,10.024201332897064,0
0.0087814358103069975,0,1.8771471777736926,10.011451614793026,0
0.0087826221123877869,0,1.8724311388954784,9.9862994074425515,0
0.0087831653959916448,0,1.8694988566558237,9.9706605688310592,0
0.0087831653959918946,0,1.869498856654364,9.9706605688232752,0
0.0087844588303892957,0,1.8619576260221256,9.930440672118003,0
0.0087854634766109056,0,1.8561211405089235,9.8993127493809254,0
0.0087854634766111554,0,1.8561211405074747,9.8993127493731983,0
0.008785810179971076,0,1.8541112187881521,9.8885931668701446,0
0.0087858101799713258,0,1.8541112187867046,9.8885931668624245,0
0.0087870091642502472,0.51682526692686614,1.8481440635543869,9.85676833895673,0.025841263346343308
0.0087882081485291703,1.0337039645077981,1.8441322604472536,9.8353720557186861,0.05168519822538991
0.0087894071328080917,1.5499675766661574,1.8420674302830975,9.82435962817652,0.077498378833307874
0.0087906061170870131,2.0649563458241458,1.8419388239908565,9.8236737279512347,0.1032478172912073
0.0087918051013659362,2.5780192729028029,1.8437333226106132,9.8332443872566042,0.12890096364514014
0.0087930040856448576,3.088514117322009,1.8474354372935955,9.8529889988991766,0.15442570586610047
0.008794203069923779,3.5958073970004825,1.8530273093021763,9.8828123162782742,0.17979036985002414
0.0087954020542027021,4.0992743883557834,1.8604887100098733,9.9226064533859901,0.20496371941778918
0.0087957724510637665,4.2539385149978477,1.8631682562626843,9.9368973667343159,0.21269692574989241
0.0087957724510641412,0,1.8631682562654839,9.936897366749248,0
0.0087961191783340071,0,1.8656581719279632,9.9501769169491379,0
0.0087961191783342569,0,1.8656581719296845,9.9501769169583181,0
0.0087973054804150411,0,1.8726557943823385,9.9874975700391389,0
0.0087984917824958271,0,1.8772992368596513,10.012262596584806,0
0.0087996780845766114,0,1.879591314302022,10.024487009610784,0
0.0088008643866573956,0,1.8795377505630668,10.024201336336356,0
0.0088020506887381798,0,1.8771471784096185,10.011451618184632,0
0.0088032369908189658,0,1.8724311395217277,9.9862994107825482,0
0.0088037802744188199,0,1.8694988573007723,9.9706605722707859,0
0.0088037802744190697,0,1.869498857299313,9.970660572263002,0
0.0088050737088164709,0,1.8619576266644751,9.930440675543867,0
0.0088060783550419925,0,1.8561211411265672,9.8993127526750246,0
0.0088060783550422423,0,1.8561211411251182,9.8993127526672975,0
0.0088064250584021595,0,1.854111219405147,9.8885931701607834,0
0.0088064250584024093,0,1.8541112194036997,9.8885931701530652,0
0.0088076240426813255,0.51682526671576035,1.8481440641687059,9.8567683422330976,0.025841263335788019
0.0088088230269602434,1.0337039640872963,1.844132261058111,9.8353720589765921,0.051685198204364818
0.0088100220112391596,1.5499675760382348,1.8420674308897182,9.8243596314118307,0.077498378801911738
0.0088112209955180758,2.0649563449910358,1.8419388245924764,9.8236737311598734,0.10324781724955179
0.008812419979796992,2.5780192718669932,1.8437333232064792,9.8332443904345563,0.12890096359334965
0.0088136189640759099,3.0885141160862344,1.847435437882968,9.8529890020424968,0.15442570580431172
0.0088148179483548261,3.5958073955677197,1.8530273098843288,9.8828123193830866,0.179790369778386
0.0088160169326337422,4.0992743867292454,1.860488710584093,9.9226064564484968,0.20496371933646229
0.0088163873294948431,4.2539385133277934,1.8631682568345926,9.9368973697844947,0.21269692566638967
0.0088163873294950929,0,1.8631682568364591,9.9368973697944494,0
0.0088167340567649553,0,1.865658172496401,9.9501769199808052,0
0.0088167340567652051,0,1.8656581724981227,9.9501769199899872,0
0.0088179203588459893,0,1.8726557949417491,9.9874975730226616,0
0.0088191066609267753,0,1.8772992374093718,10.012262599516649,0
0.0088202929630075595,0,1.8795913148414041,10.024487012487489,0
0.0088214792650883438,0,1.8795377510914779,10.024201339154549,0
0.0088226655671691297,0,1.877147178926442,10.011451620941024,0
0.008823851869249914,0,1.8724311400263636,9.9862994134739385,0
0.0088243951528442187,0,1.869498857832057,9.9706605751043043,0
0.0088243951528444685,0,1.8694988578305975,9.9706605750965203,0
0.0088256885872418697,0,1.861957627193616,9.9304406783659527,0
0.0088266932334729268,0,1.8561211416219421,9.899312755317025,0
0.0088266932334731766,0,1.8561211416204935,9.8993127553092979,0
0.0088270399368330938,0,1.8541112198999858,9.8885931727999239,0
0.0088270399368333436,0,1.8541112198985381,9.8885931727922038,0
0.0088282389211122528,0.51682526654511229,1.8481440646614107,9.856768344860857,0.025841263327255615
0.0088294379053911621,1.0337039637473731,1.8441322615480424,9.8353720615895597,0.051685198187368657
0.0088306368896700713,1.5499675755306264,1.8420674313762446,9.8243596340066386,0.077498378776531318
0.0088318358739489806,2.0649563443175456,1.8419388250749746,9.8236737337331981,0.10324781721587728
0.0088330348582278898,2.5780192710296328,1.8437333236843367,9.8332443929831292,0.12890096355148165
0.0088342338425067991,3.088514115087218,1.8474354383555807,9.8529890045630975,0.1544257057543609
0.0088354328267857083,3.5958073944094622,1.8530273103511048,9.8828123218725583,0.17979036972047313
0.0088366318110646176,4.0992743854143532,1.8604887110444519,9.9226064589037435,0.20496371927071766
0.0088370022079257773,4.2539385119907038,1.8631682572933133,9.9368973722310034,0.21269692559953521
0.008837002207926152,0,1.8631682572961126,9.9368973722459337,0
0.0088373489351960179,0,1.8656581729541646,9.9501769224222105,0
0.0088373489351962677,0,1.8656581729558859,9.9501769224313907,0
0.008838535237277052,0,1.8726557953926057,9.9874975754272306,0
0.0088397215393578379,0,1.8772992378527875,10.012262601881533,0
0.0088409078414386222,0,1.8795913152768555,10.024487014809896,0
0.0088420941435194064,0,1.8795377515184535,10.024201341431752,0
0.0088432804456001907,0,1.877147179344443,10.011451623170363,0
0.0088444667476809766,0,1.8724311404349034,9.9862994156528178,0
0.0088450100312709931,0,1.8694988582611551,9.9706605773928274,0
0.0088450100312712429,0,1.8694988582596956,9.9706605773850434,0
0.0088463034656686441,0,1.8619576276209839,9.9304406806452477,0
0.0088473081119041126,0,1.8561211420223818,9.8993127574527033,0
0.0088473081119043624,0,1.8561211420209331,9.8993127574449762,0
0.0088476548152642831,0,1.8541112202999714,9.888593174933181,0
0.0088476548152645329,0,1.8541112202985244,9.8885931749254627,0
0.0088488537995434369,0.51682526640723336,1.8481440650596714,9.8567683469849143,0.025841263320361671
0.0088500527838223392,1.0337039634727245,1.8441322619440617,9.8353720637016622,0.051685198173636232
0.0088512517681012433,1.5499675751204938,1.8420674317695118,9.824359636104063,0.077498378756024694
0.0088524507523801473,2.0649563437733862,1.8419388254649867,9.8236737358132622,0.10324781718866932
0.0088536497366590496,2.5780192703530709,1.8437333240705978,9.833244395043188,0.12890096351765354
0.0088548487209379537,3.0885141142800436,1.8474354387376044,9.8529890066005574,0.15442570571400219
0.008856047705216856,3.595807393473625,1.8530273107284123,9.8828123238848651,0.17979036967368126
0.00885724668949576,4.0992743843519612,1.8604887114165749,9.9226064608883995,0.20496371921759807
0.0088576170863568469,4.253938510860003,1.8631682576632096,9.9368973742037845,0.21269692554300015
0.0088576170863571002,0,1.8631682576651016,9.936897374213876,0
0.0088579638136270841,0,1.8656581733222679,9.9501769243854294,0
0.0088579638136274553,0,1.8656581733248263,9.9501769243990736,0
0.0088591501157082395,0,1.8726557957549801,9.9874975773598944,0
0.0088603364177890255,0,1.877299238208169,10.012262603776902,0
0.0088615227198698097,0,1.8795913156248278,10.024487016665748,0
0.008862709021950594,0,1.8795377518586107,10.024201343245924,0
0.00886389532403138,0,1.8771471796763901,10.011451624940747,0
0.0088650816261121642,0,1.8724311407582581,9.986299417377376,0
0.0088656249096981006,0,1.8694988586042933,9.9706605792228977,0
0.0088656249096983539,0,1.8694988586028134,9.9706605792150054,0
0.0088669183440956215,0,1.861957627963492,9.9304406824719571,0
0.0088679229903404783,0,1.8561211423093633,9.899312758983271,0
0.0088679229903407316,0,1.8561211423078945,9.8993127589754373,0
0.0088682696937006488,0,1.8541112205866424,9.8885931764620931,0
0.0088682696937009021,0,1.8541112205851751,9.8885931764542665,0
0.0088694686779797922,0.51682526630485193,1.8481440653451204,9.856768348507309,0.025841263315242599
0.0088706676622586841,1.0337039632687606,1.8441322622279113,9.8353720652155268,0.051685198163438029
0.0088718666465375743,1.5499675748158859,1.8420674320513697,9.824359637607305,0.077498378740794294
0.0088730656308164662,2.0649563433692095,1.841938825744466,9.8236737373038192,0.10324781716846049
0.0088742646150953564,2.5780192698505351,1.8437333243473173,9.8332443965190262,0.12890096349252675
0.0088754635993742483,3.0885141136804886,1.8474354390111893,9.8529890080596765,0.15442570568402444
0.0088766625836531384,3.5958073927785188,1.8530273109984945,9.882812325325304,0.17979036963892595
0.0088778615679320303,4.0992743835628955,1.8604887116827937,9.9226064623082326,0.20496371917814479
0.0088782319647934087,4.2539385101657414,1.8631682579303757,9.9368973756286696,0.21269692550828709
0.0088782319647937868,0,1.863168257933201,9.9368973756437384,0
0.008878578692063651,0,1.8656581735885425,9.9501769258055592,0
0.0088785786920639043,0,1.8656581735902877,9.9501769258148673,0
0.0088797649941446885,0,1.872655796017284,9.9874975787588482,0
0.0088809512962254727,0,1.8772992384670024,10.012262605157346,0
0.008882137598306257,0,1.8795913158798832,10.024487018026043,0
0.008883323900387043,0,1.8795377521095866,10.024201344584462,0
0.0088845102024678272,0,1.8771471799229911,10.011451626255953,0
0.0088856965045486114,0,1.8724311410001953,9.9862994186677074,0
0.0088862397881324853,0,1.8694988588560459,9.9706605805655784,0
0.0088862397881327385,0,1.8694988588545662,9.970660580557686,0
0.008887533222530138,0,1.8619576282134602,9.9304406838051218,0
0.0088885378687717752,0,1.856121142577225,9.8993127604118669,0
0.0088885378687720284,0,1.856121142575756,9.8993127604040314,0
0.0088888845721319491,0,1.8541112208541937,9.8885931778890335,0
0.0088888845721322024,0,1.8541112208527264,9.8885931778812068,0
0.0088900835564110978,0.51682526621612124,1.848144065611484,9.8567683499279148,0.025841263310806065
0.0088912825406899931,1.0337039630920379,1.8441322624927676,9.8353720666280946,0.051685198154601902
0.0088924815249688885,1.5499675745520132,1.8420674323144046,9.824359639010158,0.077498378727600667
0.0088936805092477821,2.0649563430191309,1.8419388260053684,9.8236737386952981,0.10324781715095654
0.0088948794935266775,2.5780192694152939,1.8437333246057812,9.8332443978975004,0.12890096347076471
0.0088960784778055729,3.0885141131612261,1.8474354392669143,9.8529890094235437,0.15442570565806132
0.0088972774620844682,3.5958073921764693,1.8530273112511852,9.8828123266729886,0.17979036960882347
0.0088984764463633636,4.0992743828793889,1.8604887119321611,9.9226064636381928,0.20496371914396946
0.0088988468432245893,4.2539385093928885,1.8631682581775038,9.9368973769466873,0.21269692546964444
0.0088988468432248426,0,1.863168258179396,9.9368973769567788,0
0.0088991935704948264,0,1.8656581738343894,9.9501769271167433,0
0.0088991935704951976,0,1.8656581738369473,9.9501769271303857,0
0.0089003798725759819,0,1.8726557962592727,9.987497580049455,0
0.0089015661746567661,0,1.8772992387040359,10.012262606421524,0
0.0089027524767375521,0,1.879591316111684,10.024487019262315,0
0.0089039387788183363,0,1.8795377523358856,10.02420134579139,0
0.0089051250808991206,0,1.8771471801435271,10.011451627432145,0
0.0089063113829799048,0,1.8724311412147139,9.9862994198118074,0
0.008906854666561121,0,1.8694988590832602,9.9706605817773877,0
0.0089068546665613743,0,1.8694988590817805,9.9706605817694953,0
0.0089081481009586419,0,1.861957628440527,9.9304406850161442,0
0.0089091527472082137,0,1.8561211427575541,9.899312761373622,0
0.008909152747208467,0,1.8561211427560853,9.8993127613657883,0
0.0089094994505683842,0,1.854111221034348,9.888593178849856,0
0.0089094994505686375,0,1.8541112210328805,9.8885931788420294,0
0.0089106984348475225,0.51682526615062263,1.8481440657908939,9.8567683508847672,0.025841263307531132
0.0089118974191264074,1.0337039629615441,1.8441322626711754,9.8353720675796019,0.051685198148077205
0.0089130964034052906,1.54996757435712,1.8420674324915542,9.824359639954956,0.077498378717856004
0.0089142953876841756,2.064956342760524,1.8419388261810083,9.8236737396320439,0.10324781713802621
0.0089154943719630605,2.5780192690937485,1.8437333247796635,9.8332443988248723,0.12890096345468743
0.0089166933562419455,3.0885141127776019,1.8474354394387951,9.8529890103402398,0.15442570563888011
0.0089178923405208305,3.595807391731713,1.8530273114208251,9.8828123275777333,0.17979036958658567
0.0089190913247997137,4.0992743823745261,1.8604887120993248,9.9226064645297321,0.20496371911872632
0.0089194617216611441,4.2539385089560113,1.8631682583454028,9.9368973778421488,0.21269692544780058
0.0089194617216615205,0,1.8631682583482156,9.9368973778571501,0
0.0089198084489313847,0,1.8656581740017748,9.9501769280094656,0
0.0089198084489316379,0,1.8656581740035201,9.9501769280187737,0
0.0089209947510124222,0,1.872655796424102,9.9874975809285438,0
0.0089221810530932064,0,1.8772992388669234,10.012262607290259,0
0.0089233673551739907,0,1.8795913162724358,10.024487020119658,0
0.0089245536572547749,0,1.8795377524943102,10.024201346636321,0
0.0089257399593355609,0,1.8771471802994371,10.011451628263664,0
0.0089269262614163451,0,1.8724311413679253,9.9862994206289351,0
0.0089274695449962586,0,1.8694988592427797,9.9706605826281578,0
0.0089274695449965118,0,1.8694988592412998,9.9706605826202654,0
0.0089287629793939113,0,1.8619576285986335,9.930440685859379,0
0.0089297676256395037,0,1.85612114293825,9.8993127623373329,0
0.0089297676256397569,0,1.8561211429367808,9.8993127623294974,0
0.0089301143289996776,0,1.8541112212148276,9.888593179812414,0
0.0089301143289999309,0,1.8541112212133601,9.8885931798045874,0
0.008931313313278821,0.51682526609179102,1.8481440659705624,9.8567683518429998,0.025841263304589551
